'2019-01-01', 0
'2019-01-02', 0
'2019-01-03', 0
'2019-01-04', 0
'2019-01-05', 0
'2019-01-06', 2
'2019-01-07', 0
'2019-01-08', 3
'2019-01-09', 2
'2019-01-10', 2
'2019-01-11', 0
'2019-01-12', 0
'2019-01-13', 0
'2019-01-14', 1
'2019-01-15', 1
'2019-01-16', 0
'2019-01-17', 2
'2019-01-18', 0
'2019-01-19', 0
'2019-01-20', 0
'2019-01-21', 2
'2019-01-22', 2
'2019-01-23', 0
'2019-01-24', 3
'2019-01-25', 0
'2019-01-26', 1
'2019-01-27', 1
'2019-01-28', 0
'2019-01-29', 1
'2019-01-30', 1
'2019-01-31', 2
'2019-02-01', 0
'2019-02-02', 0
'2019-02-03', 0
'2019-02-04', 0
'2019-02-05', 3
'2019-02-06', 0
'2019-02-07', 3
'2019-02-08', 2
'2019-02-09', 2
'2019-02-10', 1
'2019-02-11', 0
'2019-02-12', 2
'2019-02-13', 0
'2019-02-14', 0
'2019-02-15', 2
'2019-02-16', 0
'2019-02-17', 0
'2019-02-18', 0
'2019-02-19', 1
'2019-02-20', 0
'2019-02-21', 2
'2019-02-22', 1
'2019-02-23', 0
'2019-02-24', 0
'2019-02-25', 0
'2019-02-26', 0
'2019-02-27', 2
'2019-02-28', 0
'2019-03-01', 0
'2019-03-02', 0
'2019-03-03', 0
'2019-03-04', 1
'2019-03-05', 2
'2019-03-06', 1
'2019-03-07', 0
'2019-03-08', 0
'2019-03-09', 0
'2019-03-10', 2
'2019-03-11', 0
'2019-03-12', 0
'2019-03-13', 0
'2019-03-14', 0
'2019-03-15', 1
'2019-03-16', 0
'2019-03-17', 1
'2019-03-18', 2
'2019-03-19', 0
'2019-03-20', 0
'2019-03-21', 0
'2019-03-22', 0
'2019-03-23', 1
'2019-03-24', 2
'2019-03-25', 4
'2019-03-26', 5
'2019-03-27', 2
'2019-03-28', 3
'2019-03-29', 1
'2019-03-30', 1
'2019-03-31', 0
'2019-04-01', 1
'2019-04-02', 0
'2019-04-03', 4
'2019-04-04', 2
'2019-04-05', 0
'2019-04-06', 0
'2019-04-07', 0
'2019-04-08', 1
'2019-04-09', 3
'2019-04-10', 2
'2019-04-11', 8
'2019-04-12', 0
'2019-04-13', 0
'2019-04-14', 0
'2019-04-15', 3
'2019-04-16', 2
'2019-04-17', 4
'2019-04-18', 2
'2019-04-19', 2
'2019-04-20', 1
'2019-04-21', 0
'2019-04-22', 1
'2019-04-23', 1
'2019-04-24', 4
'2019-04-25', 2
'2019-04-26', 1
'2019-04-27', 1
'2019-04-28', 1
'2019-04-29', 0
'2019-04-30', 0
'2019-05-01', 1
'2019-05-02', 2
'2019-05-03', 2
'2019-05-04', 0
'2019-05-05', 1
'2019-05-06', 4
'2019-05-07', 0
'2019-05-08', 3
'2019-05-09', 1
'2019-05-10', 3
'2019-05-11', 0
'2019-05-12', 0
'2019-05-13', 2
'2019-05-14', 11
'2019-05-15', 4
'2019-05-16', 2
'2019-05-17', 1
'2019-05-18', 0
'2019-05-19', 1
'2019-05-20', 0
'2019-05-21', 3
'2019-05-22', 1
'2019-05-23', 1
'2019-05-24', 4
'2019-05-25', 2
'2019-05-26', 0
'2019-05-27', 3
'2019-05-28', 2
'2019-05-29', 1
'2019-05-30', 3
'2019-05-31', 3
'2019-06-01', 0
'2019-06-02', 1
'2019-06-03', 2
'2019-06-04', 3
'2019-06-05', 2
'2019-06-06', 2
'2019-06-07', 8
'2019-06-08', 0
'2019-06-09', 0
'2019-06-10', 1
'2019-06-11', 1
'2019-06-12', 7
'2019-06-13', 4
'2019-06-14', 2
'2019-06-15', 1
'2019-06-16', 0
'2019-06-17', 3
'2019-06-18', 3
'2019-06-19', 3
'2019-06-20', 6
'2019-06-21', 3
'2019-06-22', 0
'2019-06-23', 0
'2019-06-24', 1
'2019-06-25', 7
'2019-06-26', 5
'2019-06-27', 1
'2019-06-28', 1
'2019-06-29', 2
'2019-06-30', 3
'2019-07-01', 6
'2019-07-02', 6
'2019-07-03', 1
'2019-07-04', 1
'2019-07-05', 4
'2019-07-06', 3
'2019-07-07', 1
'2019-07-08', 2
'2019-07-09', 1
'2019-07-10', 5
'2019-07-11', 3
'2019-07-12', 2
'2019-07-13', 1
'2019-07-14', 1
'2019-07-15', 6
'2019-07-16', 9
'2019-07-17', 14
'2019-07-18', 11
'2019-07-19', 7
'2019-07-20', 3
'2019-07-21', 3
'2019-07-22', 3
'2019-07-23', 5
'2019-07-24', 7
'2019-07-25', 2
'2019-07-26', 0
'2019-07-27', 3
'2019-07-28', 0
'2019-07-29', 3
'2019-07-30', 4
'2019-07-31', 4
'2019-08-01', 5
'2019-08-02', 2
'2019-08-03', 0
'2019-08-04', 0
'2019-08-05', 4
'2019-08-06', 8
'2019-08-07', 5
'2019-08-08', 4
'2019-08-09', 5
'2019-08-10', 4
'2019-08-11', 0
'2019-08-12', 8
'2019-08-13', 9
'2019-08-14', 5
'2019-08-15', 2
'2019-08-16', 4
'2019-08-17', 0
'2019-08-18', 0
'2019-08-19', 5
'2019-08-20', 7
'2019-08-21', 4
'2019-08-22', 6
'2019-08-23', 11
'2019-08-24', 2
'2019-08-25', 2
'2019-08-26', 10
'2019-08-27', 13
'2019-08-28', 7
'2019-08-29', 3
'2019-08-30', 1
'2019-08-31', 1
'2019-09-01', 2
'2019-09-02', 5
'2019-09-03', 5
'2019-09-04', 5
'2019-09-05', 5
'2019-09-06', 6
'2019-09-07', 3
'2019-09-08', 1
'2019-09-09', 2
'2019-09-10', 3
'2019-09-11', 6
'2019-09-12', 10
'2019-09-13', 3
'2019-09-14', 1
'2019-09-15', 0
'2019-09-16', 4
'2019-09-17', 5
'2019-09-18', 8
'2019-09-19', 6
'2019-09-20', 23
'2019-09-21', 13
'2019-09-22', 5
'2019-09-23', 11
'2019-09-24', 4
'2019-09-25', 12
'2019-09-26', 6
'2019-09-27', 4
'2019-09-28', 2
'2019-09-29', 0
'2019-09-30', 5
'2019-10-01', 3
'2019-10-02', 1
'2019-10-03', 6
'2019-10-04', 2
'2019-10-05', 2
'2019-10-06', 1
'2019-10-07', 5
